id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
200,32,JAWA BARAT,CIWULAN-CILAKI,PARIGI,AGUSTUS,0.0,MILIMETER,2015
201,32,JAWA BARAT,CIWULAN-CILAKI,PARIGI,SEPTEMBER,0.0,MILIMETER,2015
202,32,JAWA BARAT,CIWULAN-CILAKI,PARIGI,OKTOBER,0.0,MILIMETER,2015
203,32,JAWA BARAT,CIWULAN-CILAKI,PARIGI,NOVEMBER,792.0,MILIMETER,2015
204,32,JAWA BARAT,CIWULAN-CILAKI,PARIGI,DESEMBER,798.0,MILIMETER,2015
205,32,JAWA BARAT,CIWULAN-CILAKI,SINGAJAYA,JANUARI,194.0,MILIMETER,2015
206,32,JAWA BARAT,CIWULAN-CILAKI,SINGAJAYA,FEBRUARI,266.0,MILIMETER,2015
207,32,JAWA BARAT,CIWULAN-CILAKI,SINGAJAYA,MARET,295.0,MILIMETER,2015
208,32,JAWA BARAT,CIWULAN-CILAKI,SINGAJAYA,APRIL,327.0,MILIMETER,2015
209,32,JAWA BARAT,CIWULAN-CILAKI,SINGAJAYA,MEI,124.0,MILIMETER,2015
210,32,JAWA BARAT,CIWULAN-CILAKI,SINGAJAYA,JUNI,67.0,MILIMETER,2015
211,32,JAWA BARAT,CIWULAN-CILAKI,SINGAJAYA,JULI,8.0,MILIMETER,2015
212,32,JAWA BARAT,CIWULAN-CILAKI,SINGAJAYA,AGUSTUS,20.0,MILIMETER,2015
213,32,JAWA BARAT,CIWULAN-CILAKI,SINGAJAYA,SEPTEMBER,0.0,MILIMETER,2015
214,32,JAWA BARAT,CIWULAN-CILAKI,SINGAJAYA,OKTOBER,0.0,MILIMETER,2015
215,32,JAWA BARAT,CIWULAN-CILAKI,SINGAJAYA,NOVEMBER,393.0,MILIMETER,2015
216,32,JAWA BARAT,CIWULAN-CILAKI,SINGAJAYA,DESEMBER,321.0,MILIMETER,2015
217,32,JAWA BARAT,CIWULAN-CILAKI,SINGAPARNA,JANUARI,303.0,MILIMETER,2015
218,32,JAWA BARAT,CIWULAN-CILAKI,SINGAPARNA,FEBRUARI,370.0,MILIMETER,2015
219,32,JAWA BARAT,CIWULAN-CILAKI,SINGAPARNA,MARET,292.0,MILIMETER,2015
220,32,JAWA BARAT,CIWULAN-CILAKI,SINGAPARNA,APRIL,107.0,MILIMETER,2015
221,32,JAWA BARAT,CIWULAN-CILAKI,SINGAPARNA,MEI,106.0,MILIMETER,2015
222,32,JAWA BARAT,CIWULAN-CILAKI,SINGAPARNA,JUNI,75.0,MILIMETER,2015
223,32,JAWA BARAT,CIWULAN-CILAKI,SINGAPARNA,JULI,19.0,MILIMETER,2015
224,32,JAWA BARAT,CIWULAN-CILAKI,SINGAPARNA,AGUSTUS,1.0,MILIMETER,2015
225,32,JAWA BARAT,CIWULAN-CILAKI,SINGAPARNA,SEPTEMBER,2.0,MILIMETER,2015
226,32,JAWA BARAT,CIWULAN-CILAKI,SINGAPARNA,OKTOBER,0.0,MILIMETER,2015
227,32,JAWA BARAT,CIWULAN-CILAKI,SINGAPARNA,NOVEMBER,384.0,MILIMETER,2015
228,32,JAWA BARAT,CIWULAN-CILAKI,SINGAPARNA,DESEMBER,310.8,MILIMETER,2015
229,32,JAWA BARAT,CIWULAN-CILAKI,TARAJU,JANUARI,241.0,MILIMETER,2015
230,32,JAWA BARAT,CIWULAN-CILAKI,TARAJU,FEBRUARI,282.0,MILIMETER,2015
231,32,JAWA BARAT,CIWULAN-CILAKI,TARAJU,MARET,297.0,MILIMETER,2015
232,32,JAWA BARAT,CIWULAN-CILAKI,TARAJU,APRIL,257.0,MILIMETER,2015
233,32,JAWA BARAT,CIWULAN-CILAKI,TARAJU,MEI,190.0,MILIMETER,2015
234,32,JAWA BARAT,CIWULAN-CILAKI,TARAJU,JUNI,60.0,MILIMETER,2015
235,32,JAWA BARAT,CIWULAN-CILAKI,TARAJU,JULI,13.0,MILIMETER,2015
236,32,JAWA BARAT,CIWULAN-CILAKI,TARAJU,AGUSTUS,15.0,MILIMETER,2015
237,32,JAWA BARAT,CIWULAN-CILAKI,TARAJU,SEPTEMBER,5.0,MILIMETER,2015
238,32,JAWA BARAT,CIWULAN-CILAKI,TARAJU,OKTOBER,2.0,MILIMETER,2015
239,32,JAWA BARAT,CIWULAN-CILAKI,TARAJU,NOVEMBER,348.0,MILIMETER,2015
240,32,JAWA BARAT,CIWULAN-CILAKI,TARAJU,DESEMBER,321.0,MILIMETER,2015
241,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,JANUARI,489.0,MILIMETER,2016
242,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,FEBRUARI,398.0,MILIMETER,2016
243,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,MARET,502.0,MILIMETER,2016
244,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,APRIL,224.0,MILIMETER,2016
245,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,MEI,255.0,MILIMETER,2016
246,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,JUNI,174.0,MILIMETER,2016
247,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,JULI,351.0,MILIMETER,2016
248,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,AGUSTUS,469.0,MILIMETER,2016
